Series_Title,Released_Year,Decade,Certificate_Clean,Runtime,IMDB_Rating,Meta_score,Rating_Diff,No_of_Votes,Log_Votes,Gross,Log_Gross,Director,Star1,Star2,Star3,Star4,Avg_Star_Freq,Genre_Drama,Genre_Comedy,Genre_Crime,Genre_Adventure,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Biography,Genre_Mystery,Genre_Animation,Genre_Sci-Fi,Genre_Fantasy,Genre_Family,Genre_History,Genre_War,Genre_Music,Genre_Horror,Genre_Western,Genre_Film-Noir,Genre_Sport,Genre_Musical
A Man for All Seasons,1966,1960,All Ages,120,7.7,72.0,0.5,31222,10.349,28350000.0,17.16,Fred Zinnemann,Paul Scofield,Wendy Hiller,Robert Shaw,Leo Mckern,1.75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Repulsion,1965,1960,Unknown,105,7.7,91.0,-1.4,48883,10.797,13474588.0,16.416,Roman Polanski,Catherine Deneuve,Ian Hendry,John Fraser,Yvonne Furneaux,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zulu,1964,1960,All Ages,138,7.7,77.0,0.0,35999,10.491,2616000.0,14.777,Cy Endfield,Stanley Baker,Jack Hawkins,Ulla Jacobsson,James Booth,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Goldfinger,1964,1960,Restricted,110,7.7,87.0,-1.0,174119,12.067,51081062.0,17.749,Guy Hamilton,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton,2.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Birds,1963,1960,Restricted,119,7.7,90.0,-1.3,171739,12.054,11403529.0,16.249,Alfred Hitchcock,Rod Taylor,Tippi Hedren,Jessica Tandy,Suzanne Pleshette,1.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Cape Fear,1962,1960,Unknown,106,7.7,76.0,0.1,26457,10.183,2616000.0,14.777,J. Lee Thompson,Gregory Peck,Robert Mitchum,Polly Bergen,Lori Martin,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peeping Tom,1960,1960,Unknown,101,7.7,78.0,-0.1,31354,10.353,83957.0,11.338,Michael Powell,Karlheinz Böhm,Anna Massey,Moira Shearer,Maxine Audley,1.25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Magnificent Seven,1960,1960,Unknown,128,7.7,74.0,0.3,87719,11.382,4905000.0,15.406,John Sturges,Yul Brynner,Steve Mcqueen,Charles Bronson,Eli Wallach,2.75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Les yeux sans visage,1960,1960,Unknown,90,7.7,90.0,-1.3,27620,10.226,52709.0,10.873,Georges Franju,Pierre Brasseur,Alida Valli,Juliette Mayniel,Alexandre Rignault,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Invasion of the Body Snatchers,1956,1950,Unknown,80,7.7,92.0,-1.5,44839,10.711,3969893.0,15.194,Don Siegel,Kevin Mccarthy,Dana Wynter,Larry Gates,King Donovan,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Rebel Without a Cause,1955,1950,Parental Guidance,111,7.7,89.0,-1.2,83363,11.331,6277000.0,15.652,Nicholas Ray,James Dean,Natalie Wood,Sal Mineo,Jim Backus,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ladykillers,1955,1950,Unknown,91,7.7,91.0,-1.4,26464,10.184,3969893.0,15.194,Alexander Mackendrick,Alec Guinness,Peter Sellers,Cecil Parker,Herbert Lom,2.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabrina,1954,1950,Unknown,113,7.7,72.0,0.5,59415,10.992,6277000.0,15.652,Billy Wilder,Humphrey Bogart,Audrey Hepburn,William Holden,Walter Hampden,5.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Quiet Man,1952,1950,Unknown,129,7.7,78.0,-0.1,34677,10.454,10550000.0,16.172,John Ford,John Wayne,Maureen O'Hara,Barry Fitzgerald,Ward Bond,2.75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Day the Earth Stood Still,1951,1950,All Ages,92,7.7,78.0,-0.1,76315,11.243,6277000.0,15.652,Robert Wise,Michael Rennie,Patricia Neal,Hugh Marlowe,Sam Jaffe,1.25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The African Queen,1951,1950,Parental Guidance,105,7.7,91.0,-1.4,71481,11.177,536118.0,13.192,John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull,4.25,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilda,1946,1940,Unknown,110,7.7,78.0,-0.1,27991,10.24,4360000.0,15.288,Charles Vidor,Rita Hayworth,Glenn Ford,George Macready,Joseph Calleia,1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fantasia,1940,1940,All Ages,125,7.7,96.0,-1.9,88662,11.393,76408097.0,18.152,James Algar,Samuel Armstrong,Ford Beebe Jr.,Norman Ferguson,David Hand,1.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
The Invisible Man,1933,1930,Parental Guidance,71,7.7,87.0,-1.0,30683,10.331,3259260.0,14.997,James Whale,Claude Rains,Gloria Stuart,William Harrigan,Henry Travers,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Dark Waters,2019,2010,Parental Guidance,126,7.6,73.0,0.3,60408,11.009,1752214.0,14.376,Todd Haynes,Mark Ruffalo,Anne Hathaway,Tim Robbins,Bill Pullman,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Searching,2018,2010,Parental Guidance,102,7.6,71.0,0.5,140840,11.855,26020957.0,17.074,Aneesh Chaganty,John Cho,Debra Messing,Joseph Lee,Michelle La,1.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
