Series_Title,Released_Year,Decade,Certificate_Clean,Runtime,IMDB_Rating,Meta_score,Rating_Diff,No_of_Votes,Log_Votes,Gross,Log_Gross,Director,Star1,Star2,Star3,Star4,Avg_Star_Freq,Genre_Drama,Genre_Comedy,Genre_Crime,Genre_Adventure,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Biography,Genre_Mystery,Genre_Animation,Genre_Sci-Fi,Genre_Fantasy,Genre_Family,Genre_History,Genre_War,Genre_Music,Genre_Horror,Genre_Western,Genre_Film-Noir,Genre_Sport,Genre_Musical
The Shawshank Redemption,1994,1990,Restricted,142,9.3,80.0,1.3,2343110,14.667,28341469.0,17.16,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,3.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather,1972,1970,Restricted,175,9.2,100.0,-0.8,1620367,14.298,134966411.0,18.721,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,6.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,2008,2000,Parental Guidance,152,9.0,84.0,0.6,2303232,14.65,534858444.0,20.098,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,5.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather: Part II,1974,1970,Restricted,202,9.0,90.0,0.0,1129952,13.938,57300000.0,17.864,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men,1957,1950,All Ages,96,9.0,96.0,-0.6,689845,13.444,4360000.0,15.288,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,2003,2000,All Ages,201,8.9,94.0,-0.5,1642758,14.312,377845905.0,19.75,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian Mckellen,Orlando Bloom,4.75,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulp Fiction,1994,1990,Restricted,154,8.9,94.0,-0.5,1826188,14.418,107928762.0,18.497,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,4.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schindler's List,1993,1990,Restricted,195,8.9,94.0,-0.5,1213505,14.009,96898818.0,18.389,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Inception,2010,2010,Parental Guidance,148,8.8,74.0,1.4,2067042,14.542,292576195.0,19.494,Christopher Nolan,Leonardo Dicaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,5.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fight Club,1999,1990,Restricted,139,8.8,66.0,2.2,1854740,14.433,37030102.0,17.427,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,5.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,2001,2000,All Ages,178,8.8,92.0,-0.4,1661481,14.323,315544750.0,19.57,Peter Jackson,Elijah Wood,Ian Mckellen,Orlando Bloom,Sean Bean,3.75,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Gump,1994,1990,Parental Guidance,142,8.8,82.0,0.6,1809221,14.408,330252182.0,19.615,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il buono, il brutto, il cattivo",1966,1960,Restricted,161,8.8,90.0,-0.2,688390,13.442,6100000.0,15.624,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Lord of the Rings: The Two Towers,2002,2000,Parental Guidance,179,8.7,87.0,0.0,1485555,14.211,342551365.0,19.652,Peter Jackson,Elijah Wood,Ian Mckellen,Viggo Mortensen,Orlando Bloom,4.75,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Matrix,1999,1990,Restricted,136,8.7,73.0,1.4,1676426,14.332,171479930.0,18.96,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Goodfellas,1990,1990,Restricted,146,8.7,90.0,-0.3,1020727,13.836,46836394.0,17.662,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,6.25,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode V - The Empire Strikes Back,1980,1980,Parental Guidance,124,8.7,82.0,0.5,1159315,13.963,290475067.0,19.487,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,4.25,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
One Flew Over the Cuckoo's Nest,1975,1970,Restricted,133,8.7,83.0,0.4,918088,13.73,112000000.0,18.534,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,2020,2020,Parental Guidance,160,8.6,90.0,-0.4,55291,10.92,13639724.0,16.428,Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Gisaengchung,2019,2010,Restricted,132,8.6,96.0,-1.0,552778,13.223,53367844.0,17.793,Bong Joon Ho,Kang-Ho Song,Lee Sun-Kyun,Cho Yeo-Jeong,Choi Woo-Sik,1.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soorarai Pottru,2020,2020,All Ages,153,8.6,88.0,-0.2,54995,10.915,13639724.0,16.428,Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interstellar,2014,2010,Parental Guidance,169,8.6,74.0,1.2,1512360,14.229,188020017.0,19.052,Christopher Nolan,Matthew Mcconaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,3.25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cidade de Deus,2002,2000,Restricted,130,8.6,79.0,0.7,699256,13.458,7563397.0,15.839,Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sen to Chihiro no kamikakushi,2001,2000,All Ages,125,8.6,96.0,-1.0,651376,13.387,10055859.0,16.124,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,1.5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Saving Private Ryan,1998,1990,Restricted,169,8.6,91.0,-0.5,1235804,14.027,216540909.0,19.193,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Green Mile,1999,1990,Restricted,189,8.6,61.0,2.5,1147794,13.953,136801374.0,18.734,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,4.5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
La vita è bella,1997,1990,All Ages,116,8.6,59.0,2.7,623629,13.343,57598247.0,17.869,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,1.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se7en,1995,1990,Restricted,127,8.6,65.0,2.1,1445096,14.184,100125643.0,18.422,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,6.25,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Silence of the Lambs,1991,1990,Restricted,118,8.6,85.0,0.1,1270197,14.055,130742922.0,18.689,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,2.75,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars,1977,1970,Parental Guidance,121,8.6,90.0,-0.4,1231473,14.024,322740140.0,19.592,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,5.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Seppuku,1962,1960,Unknown,133,8.6,85.0,0.1,42004,10.646,2616000.0,14.777,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,2.25,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Shichinin no samurai,1954,1950,All Ages,207,8.6,98.0,-1.2,315744,12.663,269061.0,12.503,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,3.25,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It's a Wonderful Life,1946,1940,Parental Guidance,130,8.6,89.0,-0.3,405801,12.914,1585634.0,14.276,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,4.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Joker,2019,2010,Restricted,122,8.5,59.0,2.6,939252,13.753,335451311.0,19.631,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,6.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiplash,2014,2010,Restricted,106,8.5,88.0,-0.3,717585,13.484,13092000.0,16.388,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Intouchables,2011,2010,Parental Guidance,112,8.5,57.0,2.8,760360,13.542,13182281.0,16.394,Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Prestige,2006,2000,All Ages,130,8.5,66.0,1.9,1190259,13.99,53089891.0,17.787,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,8.25,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Departed,2006,2000,Restricted,151,8.5,85.0,0.0,1189773,13.989,132384315.0,18.701,Martin Scorsese,Leonardo Dicaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,7.75,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pianist,2002,2000,Restricted,150,8.5,85.0,0.0,729603,13.5,32572577.0,17.299,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Gladiator,2000,2000,Parental Guidance,155,8.5,67.0,1.8,1341460,14.109,187705427.0,19.05,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,3.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American History X,1998,1990,Restricted,119,8.5,62.0,2.3,1034705,13.85,6719864.0,15.721,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,2.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Usual Suspects,1995,1990,Restricted,106,8.5,77.0,0.8,991208,13.807,23341568.0,16.966,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,2.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Léon,1994,1990,Restricted,110,8.5,64.0,2.1,1035236,13.85,19501238.0,16.786,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,3.25,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lion King,1994,1990,All Ages,88,8.5,88.0,-0.3,942045,13.756,422783777.0,19.862,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,1.75,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Terminator 2: Judgment Day,1991,1990,All Ages,137,8.5,75.0,1.0,995506,13.811,204843350.0,19.138,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,2.25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nuovo Cinema Paradiso,1988,1980,All Ages,155,8.5,80.0,0.5,230763,12.349,11990401.0,16.3,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,1.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotaru no haka,1988,1980,All Ages,89,8.5,94.0,-0.9,235231,12.368,52767889.0,17.781,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Back to the Future,1985,1980,All Ages,116,8.5,87.0,-0.2,1058081,13.872,210609762.0,19.166,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,2.25,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Once Upon a Time in the West,1968,1960,All Ages,165,8.5,80.0,0.5,302844,12.621,5321508.0,15.487,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Psycho,1960,1960,Restricted,109,8.5,97.0,-1.2,604211,13.312,32000000.0,17.281,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Casablanca,1942,1940,All Ages,102,8.5,100.0,-1.5,522093,13.166,1024560.0,13.84,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,4.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Modern Times,1936,1930,All Ages,87,8.5,96.0,-1.1,217881,12.292,163245.0,12.003,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,2.75,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
City Lights,1931,1930,All Ages,87,8.5,99.0,-1.4,167839,12.031,19181.0,9.862,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,2.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capharnaüm,2018,2010,Restricted,126,8.4,75.0,0.9,62635,11.045,1661096.0,14.323,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayla: The Daughter of War,2017,2010,Unknown,125,8.4,83.0,0.1,34112,10.437,845464.0,13.648,Can Ulkay,Erdem Can,Çetin Tekindor,Ismail Hacioglu,Kyung-Jin Lee,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Vikram Vedha,2017,2010,Parental Guidance,147,8.4,83.0,0.1,28401,10.254,845464.0,13.648,Gayatri,Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath,1.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimi no na wa.,2016,2010,All Ages,106,8.4,79.0,0.5,194838,12.18,5017246.0,15.428,Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,1.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Dangal,2016,2010,All Ages,161,8.4,83.0,0.1,156479,11.961,12391761.0,16.333,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,3.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Into the Spider-Verse,2018,2010,All Ages,117,8.4,87.0,-0.3,375110,12.835,190241310.0,19.064,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,1.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Avengers: Endgame,2019,2010,Parental Guidance,181,8.4,78.0,0.6,809955,13.605,858373000.0,20.571,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,6.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Infinity War,2018,2010,Parental Guidance,149,8.4,68.0,1.6,834477,13.635,678815482.0,20.336,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,5.25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coco,2017,2010,All Ages,105,8.4,81.0,0.3,384171,12.859,209726015.0,19.161,Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,2.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Django Unchained,2012,2010,Restricted,165,8.4,81.0,0.3,1357682,14.121,162805434.0,18.908,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo Dicaprio,Kerry Washington,4.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Dark Knight Rises,2012,2010,Parental Guidance,164,8.4,78.0,0.6,1516346,14.232,448139099.0,19.921,Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,6.25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Idiots,2009,2000,Parental Guidance,170,8.4,67.0,1.7,344445,12.75,6532908.0,15.692,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,3.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taare Zameen Par,2007,2000,All Ages,165,8.4,83.0,0.1,168895,12.037,1223869.0,14.018,Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,2.75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WALL·E,2008,2000,All Ages,98,8.4,95.0,-1.1,999790,13.815,223808164.0,19.226,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,1.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The Lives of Others,2006,2000,Restricted,137,8.4,89.0,-0.5,358685,12.79,11286112.0,16.239,Florian Henckel Von Donnersmarck,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,1.75,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oldeuboi,2003,2000,Restricted,101,8.4,77.0,0.7,515451,13.153,707481.0,13.469,Chan-Wook Park,Choi Min-Sik,Yoo Ji-Tae,Kang Hye-Jeong,Kim Byeong-Ok,1.25,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Memento,2000,2000,Parental Guidance,113,8.4,80.0,0.4,1125712,13.934,25544867.0,17.056,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,1.75,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mononoke-hime,1997,1990,All Ages,134,8.4,76.0,0.8,343171,12.746,2375308.0,14.681,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,1.5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time in America,1984,1980,Restricted,229,8.4,83.0,0.1,311365,12.649,5321508.0,15.487,Sergio Leone,Robert De Niro,James Woods,Elizabeth Mcgovern,Treat Williams,5.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raiders of the Lost Ark,1981,1980,Restricted,115,8.4,85.0,-0.1,884112,13.692,248159971.0,19.33,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,2.75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shining,1980,1980,Restricted,146,8.4,66.0,1.8,898237,13.708,44017374.0,17.6,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Apocalypse Now,1979,1970,Restricted,147,8.4,94.0,-1.0,606398,13.315,83471511.0,18.24,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,3.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Alien,1979,1970,Restricted,117,8.4,89.0,-0.5,787806,13.577,78900000.0,18.184,Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,2.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Anand,1971,1970,All Ages,122,8.4,83.0,0.1,30273,10.318,1833540.5,14.422,Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tengoku to jigoku,1963,1960,Unknown,143,8.4,83.0,0.1,34357,10.445,2616000.0,14.777,Akira Kurosawa,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa,3.75,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1960,Restricted,95,8.4,97.0,-1.3,450474,13.018,275902.0,12.528,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Witness for the Prosecution,1957,1950,All Ages,116,8.4,83.0,0.1,108862,11.598,8175000.0,15.917,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,1.75,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paths of Glory,1957,1950,Restricted,88,8.4,90.0,-0.6,178092,12.09,7815000.0,15.872,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rear Window,1954,1950,All Ages,112,8.4,100.0,-1.6,444074,13.004,36764313.0,17.42,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,3.75,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sunset Blvd.,1950,1950,Unknown,110,8.4,83.0,0.1,201632,12.214,7815000.0,15.872,Billy Wilder,William Holden,Gloria Swanson,Erich Von Stroheim,Nancy Olson,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Great Dictator,1940,1940,Unknown,125,8.4,83.0,0.1,203150,12.222,288475.0,12.572,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1917,2019,2010,Restricted,119,8.3,78.0,0.5,425844,12.962,159227644.0,18.886,Sam Mendes,Dean-Charles Chapman,George Mackay,Daniel Mays,Colin Firth,1.75,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tumbbad,2018,2010,Restricted,104,8.3,83.0,0.0,27793,10.233,845464.0,13.648,Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,1.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Andhadhun,2018,2010,Parental Guidance,139,8.3,83.0,0.0,71875,11.183,1373943.0,14.133,Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Drishyam,2013,2010,All Ages,160,8.3,83.0,0.0,30722,10.333,845464.0,13.648,Jeethu Joseph,Mohanlal,Meena,Asha Sharath,Ansiba,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jagten,2012,2010,Restricted,115,8.3,77.0,0.6,281623,12.548,687185.0,13.44,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jodaeiye Nader az Simin,2011,2010,Parental Guidance,123,8.3,95.0,-1.2,220002,12.301,7098492.0,15.775,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incendies,2010,2010,Restricted,131,8.3,80.0,0.3,150023,11.919,6857096.0,15.741,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Miracle in cell NO.7,2019,2010,Parental Guidance,132,8.3,83.0,0.0,33935,10.432,845464.0,13.648,Mehmet Ada Öztekin,Aras Bulut Iynemli,Nisa Sofiya Aksongur,Deniz Baysal,Celile Toyon Uysal,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babam ve Oglum,2005,2000,Unknown,112,8.3,83.0,0.0,78925,11.276,1642794.0,14.312,Çagan Irmak,Çetin Tekindor,Fikret Kuskan,Hümeyra,Ege Tanman,1.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Inglourious Basterds,2009,2000,Restricted,153,8.3,69.0,1.4,1267869,14.053,120540719.0,18.607,Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent,4.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eternal Sunshine of the Spotless Mind,2004,2000,Parental Guidance,108,8.3,89.0,-0.6,911664,13.723,34400301.0,17.354,Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne,2.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
